,most popular Android app categories,Penetration rate among Android users
0,Tools,100%
1,Communication,100%
2,Video Players & Edit,99.44%
3,Travel & Local,98.33%
4,Entertainment,97.22%
5,Social,97.22%
6,Music & Audio,95.56%
7,News & Magazines,95.56%
8,Productivity,92.78%
9,Books & Reference,83.89%
10,Photography,66.11%
11,Personalization,56.11%
12,Lifestyle,55.56%
13,Business,53.33%
14,Shopping,47.22%
15,Weather,45.56%
16,Finance,41.11%
17,Sports,41.11%
18,Health & Fitness,37.78%
19,Education,36.67%
20,Media & Video,34.44%
21,Maps & Navigation,26.11%
22,Food & Drink,8.89%
23,Comics,8.89%
24,Medical,7.78%
25,Art & Design,6.67%
26,Libraries & Demo,5.56%
27,Transportation,4.44%
28,Beauty,3.89%
29,Music,3.33%
