,Month,Units sold
0,Dec 19,5799
1,Nov 19,5651
2,Oct 19,5033
3,Sep 19,9202
4,Aug 19,2802
5,Jul 19,5302
6,Jun 19,7361
7,May 19,6231
8,Apr 19,5680
9,Mar 19,13637
10,Feb 19,2953
11,Jan 19,5402
12,Dec 18,5328
13,Nov 18,6197
14,Oct 18,5094
15,Sep 18,7390
16,Aug 18,2772
17,Jul 18,5546
18,Jun 18,8233
19,May 18,6337
20,Apr 18,6216
21,Mar 18,13300
22,Feb 18,2838
23,Jan 18,5473
24,Dec 17,6433
25,Nov 17,5117
26,Oct 17,4941
27,Sep 17,10760
28,Aug 17,2918
29,Jul 17,7031
30,Jun 17,7512
31,May 17,6713
32,Apr 17,6011
33,Mar 17,13655
34,Feb 17,3236
35,Jan 17,5431
36,Dec 16,5657
37,Nov 16,5978
38,Oct 16,5427
39,Sep 16,12565
40,Aug 16,2687
41,Jul 16,5825
