,Month,Price in U.S. dollars
0,Feb 20,223.5
1,Jan 20,181.73
2,Dec 19,128.72
3,Nov 19,153.67
4,Oct 19,183.37
5,Sep 19,171.01
6,Aug 19,168.69
7,Jul 19,210.08
8,Jun 19,314.05
9,May 19,253.27
10,Apr 19,153.68
11,Mar 19,141.94
12,Feb 19,134.82
13,Jan 19,107.57
14,Dec 18,131.37
15,Nov 18,117.01
16,Oct 18,197.15
17,Sep 18,235.39
18,Aug 18,279.18
19,Jul 18,433.61
20,Jun 18,451.88
21,May 18,574.22
22,Apr 18,683.64
23,Mar 18,403.83
24,Feb 18,864.44
25,Jan 18,1098.36
26,Dec 17,722.14
27,Nov 17,459.43
28,Oct 17,305.35
29,Sep 17,287.87
30,Aug 17,345.39
31,Jul 17,208.73
32,Jun 17,295.71
33,May 17,189.83
34,Apr 17,75.74
35,Mar 17,50.91
36,Feb 17,13.08
37,Jan 17,10.47
38,Dec 16,8.13
39,Nov 16,9.46
40,Oct 16,11.16
41,Sep 16,13.35
42,Aug 16,11.2
43,Jul 16,12.8
44,Jun 16,14.37
45,May 16,10.62
46,Apr 16,7.51
47,Mar 16,11.12
48,Feb 16,6.06
49,Jan 16,2.58
