,Year,GDP per capita in U.S. dollars
0,2025*,22825.73
1,2024*,21645.32
2,2023*,20387.92
3,2022*,19032.16
4,2021*,17644.53
5,2020*,15372.89
6,2019,16469.61
7,2018,16146.75
8,2017,14442.8
9,2016,12971.26
10,2015,12634.92
11,2014,14182.7
12,2013,13646.27
13,2012,12873.2
14,2011,14097.94
15,2010,13073.96
16,2009,13019.04
17,2008,15729.06
18,2007,13893.38
19,2006,11441.42
20,2005,11193.84
21,2004,10286.31
22,2003,8413.01
23,2002,6655.22
24,2001,5276.6
25,2000,4628.31
26,1999,4795.71
27,1998,4744.21
28,1997,4590.84
29,1996,4520.86
30,1995,4490.56
31,1994,4169.96
32,1993,3870.51
33,1992,3732.9
34,1991,3349.75
35,1990,3311.85
36,1989,2909.28
37,1988,2838.15
38,1987,2582.47
39,1986,2338.46
40,1985,2022.67
