,Year,Wage in constant 2019 U.S. dollars
0,2019,15.35
1,2018,15.26
2,2017,15.26
3,2016,14.91
4,2015,14.5
5,2014,14.21
6,2013,14.21
7,2012,14.29
8,2011,14.48
9,2010,14.69
10,2009,14.86
11,2008,14.56
12,2007,14.77
13,2006,14.94
14,2005,14.69
15,2004,14.93
16,2003,15.11
17,2002,14.91
18,2001,14.75
19,2000,14.75
20,1999,14.66
21,1998,14.31
22,1997,13.93
23,1996,13.68
24,1995,13.66
25,1994,13.72
26,1993,13.76
27,1992,13.84
28,1991,13.76
29,1990,13.75
30,1989,13.95
31,1988,14.02
32,1987,13.97
33,1986,13.84
34,1985,13.7
35,1984,13.72
36,1983,13.7
37,1982,13.78
38,1981,13.96
39,1980,14.26
40,1979,14.61
