,Country,Ranking points
0,Belgium,1752
1,France,1725
2,Brazil,1719
3,England,1662
4,Portugal,1643
5,Uruguay,1639
6,Spain,1631
7,Croatia,1625
8,Colombia,1622
9,Argentina,1614
10,Switzerland,1604
11,Mexico,1603
12,Netherlands,1586
13,Denmark,1584
14,Italy,1583
15,Germany,1580
16,Chile,1576
17,Sweden,1560
18,Peru,1551
19,Senegal,1546
20,USA,1545
21,Poland,1532
22,Wales,1522
23,Iran,1522
24,Ukraine,1516
25,Venezuela,1506
26,Austria,1503
27,Republic of Ireland,1496
28,Tunisia,1496
29,Slovakia,1490
30,Romania,1490
31,Japan,1490
32,Northern Ireland,1488
33,Nigeria,1482
34,Serbia,1476
35,Turkey,1475
36,Korea Republic,1470
37,Algeria,1466
38,Morocco,1463
39,Paraguay,1462
40,Iceland,1461
41,Russia,1455
42,Costa Rica,1442
43,Czech Republic,1441
44,Australia,1441
45,Bosnia and Herzegovina,1438
46,Norway,1435
47,Jamaica,1435
48,Egypt,1431
49,Hungary,1430
