,Sector,Change in added value
0,Hotels and catering,-83.9%
1,Other services,-77.5%
2,"Clothing, leather, and shoe production",-52.7%
3,"Culture, sports, leisure and entertainment",-46.1%
4,"Production of cars, trailers and semi-trailers",-38.6%
5,Finance and insurance,-29.6%
6,Real estate operations,-27.2%
7,Transportation and storage,-26.1%
8,Retail and wholesale trade,-25.5%
9,Other production,-22.2%
10,Administrative and other related services,-21.1%
11,"Electronics, electronic equipment and optics manufacturing",-20.4%
12,"Professional, scientific and technical activity",-20.2%
13,Construction,-20.2%
14,Machinery and equipment production n.i.e.,-18%
15,Other non-metal mineral production,-17.9%
16,"Public administration, social services",-15.5%
17,Information and communication,-15.1%
18,"Paper and paper products, printing",-15.1%
19,Coke and oil products production,-14.5%
20,Other transport vehicles and equipment production,-13.6%
21,Woodworking,-13.2%
22,"Use of electric energy, gas, steam, air conditioning",-12.8%
23,"Water supply and sewage, waste collection and utilization",-11.3%
24,Metallurgical production,-10.1%
25,"Chemical substances and goods, pharmaceutical production",-7.9%
26,Mineral extraction,-6.6%
27,"Agriculture, forestry, fishing",-5.1%
28,"Food products, drinks, tobacco products production",-3.9%
