,Month,Units sold
0,Jul '20,1607
1,Jan '19,535
2,Dec '18,509
3,Nov '18,601
4,Oct '18,884
5,Sep '18,1657
6,Aug '18,919
7,Jul '18,1176
8,Jun '18,1491
9,May '18,1553
10,Apr '18,1099
11,Mar '18,1534
12,Feb '18,455
13,Jan '18,564
14,Dec '17,453
15,Nov '17,822
16,Oct '17,1003
17,Sep '17,1581
18,Aug '17,963
19,Jul '17,1588
20,Jun '17,1550
21,May '17,1534
22,Apr '17,1414
23,Mar '17,1666
24,Feb '17,392
25,Jan '17,565
26,Dec '16,574
27,Nov '16,814
28,Oct '16,1216
29,Sep '16,1965
30,Aug '16,1181
31,Jul '16,1838
32,Jan '16,617
