,Year,Inflation rate compared to previous year
0,2025*,5.05%
1,2024*,5.01%
2,2023*,5%
3,2022*,5.05%
4,2021*,4.77%
5,2020*,4.18%
6,2019,2.87%
7,2018,2.62%
8,2017,5.63%
9,2016,5.46%
10,2015,5.41%
11,2014,3.08%
12,2013,4.91%
13,2012,12.68%
14,2011,15.01%
15,2010,3.72%
16,2009,13.02%
17,2008,12.04%
18,2007,6.09%
19,2006,7.22%
20,2005,8.6%
21,2004,3.67%
22,2003,8.71%
23,2002,-0.3%
24,2001,1.92%
25,2000,3.38%
26,1999,5.76%
27,1998,5.83%
28,1997,7.73%
29,1996,7.52%
30,1995,6.79%
31,1994,5.85%
32,1993,29.97%
33,1992,42.25%
34,1991,20.82%
35,1990,45.4%
36,1989,130.8%
37,1988,166.7%
38,1987,215.4%
39,1986,143.8%
40,1985,100%
