,Year,Wage in current U.S. dollars
0,2019,15.35
1,2018,14.99
2,2017,14.63
3,2016,14.0
4,2015,13.44
5,2014,13.14
6,2013,12.93
7,2012,12.8
8,2011,12.71
9,2010,12.5
10,2009,12.44
11,2008,12.23
12,2007,11.95
13,2006,11.76
14,2005,11.19
15,2004,11.0
16,2003,10.85
17,2002,10.47
18,2001,10.19
19,2000,9.91
20,1999,9.53
21,1998,9.1
22,1997,8.75
23,1996,8.4
24,1995,8.17
25,1994,8.01
26,1993,7.87
27,1992,7.72
28,1991,7.5
29,1990,7.23
30,1989,6.99
31,1988,6.73
32,1987,6.47
33,1986,6.2
34,1985,6.03
35,1984,5.83
36,1983,5.59
37,1982,5.4
38,1981,5.15
39,1980,4.82
40,1979,4.44
