,Quarter,Quarterly revenue in million euros
0,Q2 '20,2035.0
1,Q1 '20,1524.0
2,Q4 '19,1986.0
3,Q3 '19,1521.0
4,Q2 '19,1597.3
5,Q1 '19,1378.2
6,Q4 '18,1661.6
7,Q3 '18,1200.2
8,Q2 '18,1330.0
9,Q1 '18,1196.0
10,Q4 '17,1333.7
11,Q3 '17,1074.7
12,Q2 '17,1100.5
13,Q1 '17,980.2
14,Q4 '16,1091.6
15,Q3 '16,834.8
16,Q2 '16,916.4
17,Q1 '16,796.1
18,Q4 '15,868.5
19,Q3 '15,713.1
20,Q2 '15,733.0
21,Q1 '15,643.6
22,Q4 '14,665.6
23,Q3 '14,501.4
24,Q2 '14,546.4
25,Q1 '14,500.7
26,Q4 '13,549.6
27,Q3 '13,403.8
28,Q2 '13,436.6
29,Q1 '13,372.0
30,Q4 '12,404.0
31,Q3 '12,284.0
32,Q2 '12,257.0
33,Q1 '12,214.0
