,Year,Gross domestic product in billion international dollars
0,2021*,211.76
1,2020*,198.65
2,2019*,193.5
3,2018,178.97
4,2017,163.36
5,2016,150.17
6,2015,139.08
7,2014,129.66
8,2013,119.27
9,2012,109.77
10,2011,102.44
11,2010,92.99
12,2009,86.43
13,2008,81.39
14,2007,75.63
15,2006,67.9
16,2005,62.97
17,2004,56.88
18,2003,51.37
19,2002,47.18
20,2001,43.34
21,2000,40.01
22,1999,37.3
23,1998,35.07
24,1997,33.44
25,1996,31.75
26,1995,29.83
27,1994,28.21
28,1993,27.19
29,1992,26.24
30,1991,25.51
31,1990,24.18
32,1989,21.77
33,1988,20.18
34,1987,18.67
35,1986,17.21
36,1985,15.82
37,1984,14.66
