,Country,Population density in inhabitants per square km
0,Monaco,26150.3
1,"China, Macao SAR",21419.6
2,Singapore,8291.9
3,"China, Hong Kong SAR",7082.1
4,Gibraltar,3370.1
5,Bahrain,2159.4
6,Holy See,1815.9
7,Maldives,1769.8
8,Malta,1376.2
9,Bangladesh,1252.6
10,Bermuda,1250.1
11,Sint Maarten (Dutch part),1246.7
12,Channel Islands,906.6
13,State of Palestine,827.5
14,Saint-Martin (French part),717.0
15,Mayotte,709.7
16,"China, Taiwan Province of China",671.4
17,Lebanon,670.2
18,Barbados,667.5
19,Mauritius,625.5
20,Aruba,590.6
21,San Marino,564.3
22,Nauru,537.8
23,Republic of Korea,526.8
24,Rwanda,511.8
25,Netherlands,507.0
26,India,459.6
27,Comoros,457.2
28,Burundi,449.0
29,Saint-Barthelemy,447.6
30,Haiti,408.7
31,Israel,393.7
32,Tuvalu,388.2
33,Belgium,381.1
34,Curacao,368.1
35,Philippines,362.6
36,Reunion,355.6
37,Martinique,354.3
38,Japan,348.0
39,Sri Lanka,340.0
40,Puerto Rico,330.7
41,Grenada,329.4
42,Marshall Islands,326.6
43,El Salvador,311.5
44,Viet Nam,311.1
45,Guam,309.8
46,Saint Lucia,299.7
47,United States Virgin Islands,298.8
48,Saint Vincent and the Grenadines,283.6
49,Pakistan,280.9
