,Quarter,Quarterly revenue in thousand euros
0,Q2 2020,509175
1,Q1 2020,657145
2,Q4 2019,721224
3,Q3 2019,645970
4,Q2 2019,700499
5,Q1 2019,654017
6,Q4 2018,708209
7,Q3 2018,595019
8,Q2 2018,655464
9,Q1 2018,633751
10,Q4 2017,709847
11,Q3 2017,613147
12,Q2 2017,610342
13,Q1 2017,621220
14,Q4 2016,664214
15,Q3 2016,576911
16,Q2 2016,628482
17,Q1 2016,629262
18,Q4 2015,706416
19,Q3 2015,607339
20,Q2 2015,676411
21,Q1 2015,674053
22,Q4 2014,755717
23,Q3 2014,662045
24,Q2 2014,727421
25,Q1 2014,717199
