,Freight Transportation Company,Freight revenue in million U.S. dollars
0,FedEx Corp.,64690
1,UPS Inc.,63978
2,China Railway Corp.,44468
3,Maersk Group,34839
4,CMA CGM,30254
5,Russian Railways,26267
6,Deutsche Post DHL,24265
7,Mediterranean Shipping Co.,24002
8,BNSF Railway Co.,22328
9,COSCO Group,21787
10,Union Pacific Corp.,21708
11,Indian Railways,19036
12,SF Express,16050
13,Hapag-Lloyd AG,14121
14,Deutsche Bahn AG,12963
15,Yamato Holdings,12517
16,CSX Corp.,11937
17,Norfolk Southern,11296
18,Canadian National Railway,10953
19,NYK Group,10210
