,Telecommunication Companies,Number of employees
0,Telia Company AB,24468
1,Eltel AB,8781
2,Tele2 AB,6924
3,Relacom Management AB,2667
4,Tele2 Sverige AB,2344
5,Eltel Networks Infranet AB,2125
6,Telenor Sverige AB,1530
7,Com Hem AB,883
8,Transtema Network Services AB,739
9,Svenska Rymd AB,465
10,CLX Communications AB,340
11,Transtema Group AB,294
12,TelaVox AB,229
13,A3 Allmänna IT - och Telekom AB,150
14,Verizon Sweden AB,124
15,Telenor Connexion AB,116
16,Viafield Sweden AB,95
17,IT-Mästaren Mitt AB,76
18,Rebtel Owners AB,75
19,Reb Tel Networks AB,74
