,Month,Number of healed people
0,"Jan 8, 2021",186449
1,"Jan 7, 2021",179541
2,"Jan 6, 2021",179541
3,"Jan 5, 2021",176576
4,"Jan 4, 2021",174070
5,"Jan 3, 2021",168381
6,"Jan 2, 2021",163403
7,"Jan 1, 2021",157063
8,"Dec 31, 2020",150102
9,"Dec 30, 2020",144234
10,"Dec 29, 2020",138365
11,"Dec 28, 2020",134344
12,"Dec 27, 2020",130420
13,"Dec 26, 2020",126482
14,"Dec 25, 2020",123989
15,"Dec 24, 2020",120529
16,"Dec 23, 2020",114631
17,"Dec 22, 2020",108676
18,"Dec 21, 2020",102962
19,"Dec 20, 2020",97443
20,"Dec 19, 2020",93323
21,"Dec 18, 2020",89814
22,"Dec 17, 2020",86954
23,"Dec 16, 2020",83940
24,"Dec 15, 2020",83115
25,"Dec 14, 2020",82546
26,"Dec 13, 2020",80752
27,"Dec 12, 2020",79769
28,"Dec 11, 2020",78700
29,"Dec 10, 2020",77362
30,"Dec 9, 2020",76270
31,"Dec 8, 2020",75281
32,"Dec 7, 2020",74283
33,"Dec 6, 2020",71682
34,"Dec 5, 2020",70396
35,"Dec 4, 2020",68525
36,"Dec 3, 2020",67033
37,"Dec 2, 2020",65888
38,"Dec 1, 2020",64802
39,"Nov 30, 2020",63860
40,"Nov 29, 2020",55637
41,"Nov 28, 2020",54021
42,"Nov 27, 2020",52126
43,"Nov 26, 2020",49616
44,"Nov 25, 2020",44020
45,"Nov 24, 2020",44020
46,"Nov 23, 2020",43339
47,"Nov 22, 2020",42915
48,"Nov 21, 2020",40820
49,"Nov 20, 2020",38074
50,"Nov 19, 2020",36345
51,"Nov 18, 2020",34846
52,"Nov 17, 2020",34185
53,"Nov 16, 2020",34010
54,"Nov 15, 2020",31599
55,"Nov 14, 2020",31126
56,"Nov 13, 2020",29802
57,"Nov 12, 2020",29302
58,"Nov 11, 2020",28808
59,"Nov 10, 2020",27585
60,"Nov 9, 2020",26161
61,"Nov 8, 2020",25070
62,"Nov 7, 2020",24847
63,"Nov 6, 2020",23123
64,"Nov 5, 2020",22823
65,"Nov 4, 2020",21232
66,"Nov 3, 2020",20856
67,"Nov 2, 2020",20476
68,"Nov 1, 2020",20078
69,"Oct 31, 2020",19032
70,"Oct 30, 2020",17953
71,"Oct 29, 2020",17469
72,"Oct 28, 2020",17098
73,"Oct 27, 2020",16646
74,"Oct 26, 2020",16491
75,"Oct 25, 2020",16242
76,"Oct 24, 2020",16007
77,"Oct 23, 2020",15655
78,"Oct 22, 2020",15254
79,"Oct 21, 2020",14905
80,"Oct 20, 2020",14637
81,"Oct 19, 2020",14312
82,"Oct 18, 2020",14088
83,"Oct 17, 2020",13580
84,"Oct 16, 2020",13134
85,"Oct 15, 2020",12628
86,"Oct 14, 2020",12164
87,"Oct 13, 2020",11753
88,"Oct 12, 2020",11037
89,"Oct 11, 2020",10848
90,"Oct 10, 2020",9683
91,"Oct 9, 2020",9202
92,"Oct 8, 2020",9187
93,"Oct 7, 2020",9149
94,"Oct 6, 2020",8723
95,"Oct 5, 2020",8165
96,"Oct 4, 2020",7470
97,"Oct 3, 2020",6824
98,"Oct 2, 2020",6349
99,"Oct 1, 2020",6118
100,"Sep 30, 2020",5890
101,"Sep 29, 2020",5173
102,"Sep 28, 2020",5152
103,"Sep 27, 2020",5141
104,"Sep 26, 2020",5099
105,"Sep 25, 2020",4945
106,"Sep 24, 2020",4818
