,State,Age in years
0,Maine,45.1
1,Puerto Rico,43.1
2,New Hampshire,43.0
3,West Virginia,42.9
4,Vermont,42.8
5,Florida,42.4
6,Delaware,41.4
7,Connecticut,41.2
8,Pennsylvania,40.8
9,Montana,40.5
10,New Jersey,40.2
11,Rhode Island,40.1
12,South Carolina,39.9
13,Wisconsin,39.9
14,Michigan,39.8
15,Oregon,39.7
16,Massachusetts,39.7
17,Ohio,39.6
18,Hawaii,39.6
19,Alabama,39.4
20,New York,39.2
21,Kentucky,39.2
22,North Carolina,39.1
23,Tennessee,39.0
24,Maryland,39.0
25,Missouri,38.9
26,Arkansas,38.8
27,New Mexico,38.6
28,Illinois,38.6
29,United States,38.5
30,Virginia,38.5
31,Iowa,38.5
32,Nevada,38.4
33,Minnesota,38.4
34,Mississippi,38.3
35,Arizona,38.3
36,Wyoming,38.1
37,Indiana,38.0
38,Washington,37.9
39,Louisiana,37.7
40,South Dakota,37.7
41,Kansas,37.2
42,Georgia,37.2
43,Colorado,37.1
44,California,37.0
45,Oklahoma,37.0
46,Idaho,36.9
47,Nebraska,36.8
48,North Dakota,35.5
49,Texas,35.1
50,Alaska,35.0
51,District of Columbia,34.3
52,Utah,31.2
