,leading e-government websites,Index score (100 point scale)
0,SSA Extra Help with Medicare Prescription Drug Plan Costs socialsecurity.gov/i1020,92
1,SSA - my Social Security ssa.gov/myaccount,91
2,SSA Retirement Estimator ssa.gov/estimator,90
3,DHS U.S. Citizenship and Immigration Services Resource Center uscis.gov/portal/site/uscis/citizenship,88
4,TREASURY Electronic Federal Tax Payment System eftps.com,88
5,OPM Office of Personnel Management: Retirement Services servicesonline.opm.gov,87
6,HHS AIDSinfo aidsinfo.nih.gov,85
7,HHS National Institute of Diabetes and Digestive and Kidney Diseases niddk.nih.gov,84
8,DHS U.S. Citizenship and Immigration Services Español uscis.gov/portal/site/uscis-es,84
9,SEC U.S. Securities and Exchange Commission investor.gov,83
10,NASA NASA main website nasa.gov,83
11,FTC FTC Complaint Assistant website ftccomplaintassistant.gov,83
12,HHS Centers for Disease Control and Prevention cdc.gov,83
13,"HHS National Heart, Lung, and Blood Institute nhlbi.nih.gov",83
14,SSA SSA iClaim – Disability ssa.gov/applyfordisability,83
