,Year,Year-round Athlete,Seasonal Athlete,Non-Athlete
0,2018,346735,24759,39637
1,2017,354627,25175,39154
2,2016,336026,23858,38375
3,2015,337084,25326,37399
4,2014,339903,27683,36521
5,2013,340568,29555,34480
6,2012,300884,30074,32013
7,2011,291182,30133,31154
8,2010,286900,33027,30554
9,2009,286147,34866,29557
10,2008,257180,33672,28447
11,2007,251547,35388,28695
12,2006,249326,35253,28416
13,2005,249182,36249,27847
14,2004,232361,36970,27314
15,2003,235013,37176,27652
16,2002,228216,37978,26322
17,2001,232253,37715,26151
18,2000,221352,39223,25732
