,NBA player,Number of points scored
0,Kareem Abdul-Jabbar,38387
1,Karl Malone,36928
2,LeBron James*,33655
3,Kobe Bryant,33643
4,Michael Jordan,32292
5,Dirk Nowitzki,31560
6,Wilt Chamberlain,31419
7,Shaquille O'Neal,28596
8,Moses Malone,27409
9,Elvin Hayes,27313
10,Hakeem Olajuwon,26946
11,Oscar Robertson,26710
12,Dominique Wilkins,26668
13,Tim Duncan,26496
14,Paul Pierce,26397
15,John Havlicek,26395
16,Kevin Garnett,26071
17,Carmelo Anthony*,26067
18,Vince Carter*,25623
19,Alex English,25613
20,Reggie Miller,25279
21,Jerry West,25192
22,Patrick Ewing,24815
23,Ray Allen,24505
24,Allen Iverson,24368
25,Charles Barkley,23757
26,Robert Parish,23334
27,Adrian Dantley,23177
28,Dwyane Wade,23165
29,Elgin Baylor,23149
30,Kevin Durant*,22940
