,Country,Excise tax in euros per hectoliter of beer
0,Finland,175.2
1,Ireland,108.24
2,UK,101.57
3,Sweden,94.92
4,Estonia,81.22
5,Greece,60.0
6,Slovenia,58.08
7,Netherlands,37.96
8,Denmark,36.01
9,Italy,35.88
10,Lithuania,34.13
11,Latvia,32.64
12,Cyprus,28.8
13,Croatia,25.87
14,Hungary,24.12
15,Belgium,24.05
16,Austria,24.0
17,Malta,23.16
18,Poland,21.76
19,France,21.55
20,Portugal,20.89
21,Slovakia,17.22
22,Czechia,14.91
23,Spain,9.96
24,Luxembourg,9.52
25,Germany,9.44
26,Bulgaria,9.2
27,Romania,8.76
