,Country,Youth unemployment rate
0,Greece **,33%
1,Spain,32.2%
2,Italy,27.1%
3,Sweden,19.7%
4,Croatia**,19.3%
5,France,19.2%
6,Portugal,17.6%
7,Finland,17.1%
8,Cyprus**,16.6%
9,Romania**,16.2%
10,Euro area,15.4%
11,Slowakia,15.1%
12,Ireland,14.7%
13,EU,14.2%
14,Belgium**,14.1%
15,Luxembourg,14.1%
16,Estonia*,13.6%
17,Lithuania,12.3%
18,Latvia,12.1%
19,United Kingdom**,11.2%
20,Poland,10.4%
21,Hungary*,9.9%
22,Austria,9.9%
23,Denmark,9.7%
24,Malta,8.4%
25,Bulgaria,8.2%
26,Slovenia**,7.3%
27,Netherlands,6.9%
28,Germany,5.7%
29,Czech Republic,5.1%
