,service restaurant companies,Number of outlets
0,Edeka,2100
1,McDonald's,1484
2,Burger King,750
3,Subway,692
4,Steinecke,573
5,H. von Allwörden,500
6,Tchibo,499
7,Valora,495
8,Kamps,411
9,Domino's,324
10,Nordsee,314
11,Amrest,281
12,Yum!,259
13,Ihle,250
14,Coffee Fellows,223
15,Heberer,203
16,Junge,202
17,Bäcker Görtz,178
18,Vizenz Murr,175
19,Starbucks,165
20,Der Beck,151
21,dean&david,150
22,Janny's Eis,120
23,Call a Pizza,107
24,Marché Mövenpick,103
25,Backfactory,98
26,KochLöffel,84
27,Vapiano,82
28,Wasner,78
29,Freddy Fresh,72
30,Gustoso,66
31,Smiley's,63
32,Dunkin' Brands,60
33,La Luna,60
34,burgerme,55
35,Gosch,45
36,Pizza Max,42
