,Year,Gross domestic product in billion international dollars
0,2021*,151.99
1,2020*,143.23
2,2019*,148.69
3,2018,144.63
4,2017,137.53
5,2016,132.45
6,2015,129.47
7,2014,126.66
8,2013,120.89
9,2012,115.54
10,2011,108.91
11,2010,108.77
12,2009,103.87
13,2008,100.04
14,2007,94.14
15,2006,85.92
16,2005,79.24
17,2004,74.25
18,2003,68.06
19,2002,63.82
20,2001,62.01
21,2000,58.46
22,1999,54.82
23,1998,50.97
24,1997,48.02
25,1996,44.65
26,1995,41.04
27,1994,39.15
28,1993,36.99
29,1992,35.26
30,1991,31.92
31,1990,29.65
32,1989,26.69
33,1988,25.04
34,1987,24.17
35,1986,22.1
36,1985,21.99
37,1984,20.17
