,Quarter,Net income/loss in million U.S. dollars
0,Q3 '10,-82
1,Q4 '10,30
2,Q1 '11,96
3,Q2 '11,-201
4,Q3 '11,-322
5,Q4 '11,151
6,Q1 '12,221
7,Q2 '12,-340
8,Q3 '12,-205
9,Q4 '12,400
10,Q1 '13,201
11,Q2 '13,-381
12,Q3 '13,-45
13,Q4 '13,323
14,Q1 '14,222
15,Q2 '14,-273
16,Q3 '14,-308
17,Q4 '14,367
18,Q1 '15,335
19,Q2 '15,3
20,Q3 '15,142
21,Q4 '15,395
22,Q1 '16,442
23,Q2 '16,-140
24,Q3 '16,-45
25,Q4 '16,899
26,Q1 '17,440
27,Q2 '17,-38
28,Q3 '17,-1
29,Q4 '17,566
30,Q1 '18,644
31,Q2 '18,-22
32,Q3' 18,-186
33,Q4 '18,607
34,Q1 '19,293
35,Q2 '19,255
36,Q3 '19,262
37,Q4 '19,209
38,Q1 '20,1421
39,Q2 '20,854
40,Q3 '20,346
41,Q4 '20,418
42,Q1 '21,365
43,Q2 '21,185
