,Response,Share of responding businesses
0,Retail or wholesale (incl. online shops),24%
1,Other,10%
2,Restaurant/café or other food services,10%
3,"Professional services (e.g., financial services, consulting, travel agents, business services)",9%
4,"Arts, entertainment or recreation (e.g., museum, creative arts, sports club)",8%
5,"Media, communication or information (e.g., broadcasting, telecoms, computer programming)",7%
6,"Personal services (e.g. beauty and wellness, repair of household goods)",6%
7,"Accommodation (e.g., hotels, camping grounds)",6%
8,Manufacturing,4%
9,"Healthcare (e.g., dentist, senior care)",4%
10,"Education (e.g., schools, tutoring, driving school)",3%
11,Construction or home repair,3%
12,"Transportation or storage (e.g., taxi, warehousing)",2%
13,"Real estate (e.g., brokerage, leasing, management)",1%
14,Automotive repair or services,1%
15,Non-profit/charity organization,1%
