,city of the United States,Average price per ounce in U.S. dollars
0,"Aurora, Colorado",192$
1,"Colorado Springs, Colorado",205$
2,"Salem, Oregon",207$
3,"Portland, Oregon",211$
4,"Eugene, Oregon",213$
5,"Spokane, Oregon",216$
6,"Medford, Oregon",216$
7,"Bend, Oregon",217$
8,"Denver, Colorado",219$
9,"Vancouver, Washington",223$
10,"Tacoma, Washington",231$
11,"Inglewood, California",237$
12,"Seattle, Washington",240$
13,"Escondido, California",250$
14,"Boulder, Colorado",253$
15,"Mesa, Arizona",259$
16,"Torrance, California",260$
17,"Santa Clarita, California",269$
18,"Carlsbad, California",270$
19,"Surprise, Arizona",270$
