,Response,Share of voice
0,Amazon (amazon.com),10.1%
1,Macy’s (macys.com),7.26%
2,Wikipedia (wikipedia.org),3.25%
3,H&M (hm.com),3%
4,Third Love (thirdlove.com),2.98%
5,Target (target.com),2.12%
6,Kohl’s (kohls.com),1.93%
7,Pinterest (pinterest.com),1.88%
8,Asos (asos.com),1.79%
9,Nordstrom rack (nordstromrack.com),1.75%
10,Soma (soma.com),1.21%
11,Good Housekeeping (goodhousekeeping.com,1.19%
12,Victoria’s Secret (victoriassecret.com),1.12%
13,American Eagle Outfitters (ae.com),1.06%
14,Pacsun (pacsun.com),1.04%
15,Lulus (lulus.com),0.88%
16,AliExpress (aliexpress.com),0.82%
17,Dick’s Sporting Goods (dickssportinggoods.com),0.77%
18,Bloomingdale’s (bloomingdales.com),0.77%
19,Urban Outfitters (urbanoutfitters.com),0.74%
