,Country,Index score
0,Norway,92.73
1,Denmark,92.11
2,Finland,91.89
3,New Zealand,91.64
4,Sweden,91.62
5,Switzerland,91.42
6,Canada,91.4
7,Australia,91.29
8,Iceland,91.09
9,Netherlands,91.06
10,Germany,90.56
11,Ireland,90.35
12,Japan,90.14
13,Luxembourg,89.56
14,Austria,89.5
15,Belgium,89.46
16,"Korea, Republic of",89.06
17,France,88.78
18,Spain,88.71
19,United Kingdom,88.54
20,Portugal,87.79
21,Slovenia,87.71
22,Italy,87.36
23,Estonia,87.26
24,Czech Republic,86.69
25,Cyprus,86.64
26,Greece,85.78
27,United States,85.71
28,Singapore,85.46
29,Malta,84.89
30,Poland,84.32
31,Lithuania,83.97
32,Israel,83.62
33,Chile,83.34
34,Latvia,83.19
35,Slovakia,83.15
36,Costa Rica,83.01
37,Uruguay,82.99
38,Croatia,81.92
39,Hungary,81.02
40,Argentina,80.66
41,Barbados,80.5
42,Bulgaria,79.86
43,Mauritius,78.96
44,Romania,78.35
45,Kuwait,77.47
46,Belarus,77.0
47,Malaysia,76.96
48,Panama,76.55
49,Armenia,76.46
