,Golf course management company,Number of golf courses
0,Troon Golf,278.0
1,ClubCorp,200.0
2,Billy Casper Golf,158.0
3,Pacific Golf Management,156.0
4,"Accordia Golf Co., Ltd.",134.0
5,KemperSports,109.0
6,Blue Green Groupe Saur,105.0
7,American Golf Corp.,76.0
8,Arcis Golf,70.0
9,OB Sports,67.5
10,Landscapes Golf Management,60.5
11,GreatLIFE Golf & Fitness,54.0
12,ClubLink,53.0
13,Marriott Golf,51.0
14,Century Golf Partners / Arnold Palmers Golf Management,46.0
15,UGOLF,43.0
16,ClubSpecialists International (CSI),38.5
17,"CourseCo, Inc",38.5
18,Touchstone Golf,36.0
19,Crown Golf,32.0
