,state of Mexico,Price in thousand Mexican pesos
0,Mexico City,2911.55
1,Querétaro,1572.83
2,Morelos,1461.39
3,State of Mexico,1342.19
4,Jalisco,1298.59
5,Nayarit,1280.82
6,Baja California Sur,1154.56
7,San Luis Potosí,1141.91
8,National average,1141.89
9,Guerrero,1127.65
10,Oaxaca,1104.1
11,Yucatán,1102.27
12,Quintana Roo,1081.32
13,Nuevo León,1072.33
14,Baja California,1058.69
15,Tabasco,1056.94
16,Puebla,1053.9
17,Sinaloa,994.37
18,Campeche,979.83
19,Chiapas,966.45
20,Michoacán,964.06
21,Guanajuato,931.4
22,Chihuahua,929.55
23,Aguascalientes,917.89
24,Sonora,911.22
25,Veracruz,876.78
26,Hidalgo,863.43
27,Colima,822.71
28,Zacatecas,777.59
29,Coahuila,772.43
30,Tlaxcala,729.13
31,Durango,676.62
32,Tamaulipas,662.96
