,Month,Price in GBP per kilogram
0,Nov '19,1.12
1,Oct '19,1.28
2,Sep '19,1.41
3,Aug '19,1.11
4,Jul '19,1.28
5,Jun '19,1.5
6,May '19,2.05
7,Oct '18,1.42
8,Sep '18,1.54
9,Aug '18,1.32
10,Jul '18,1.36
11,Jun '18,1.75
12,Oct '17,1.44
13,Sep '17,1.44
14,Aug '17,1.35
15,Jul '17,1.24
16,Jun '17,1.31
17,May '17,2.0
18,Oct '16,1.16
19,Sep '16,1.33
20,Aug '16,1.29
21,Jul '16,1.26
22,Jun '16,1.57
23,Nov '15,1.06
24,Oct '15,1.13
25,Sep '15,1.07
26,Aug '15,0.85
27,Jul '15,1.05
28,Jun '15,1.47
29,May '15,2.26
30,Oct '14,1.11
31,Sep '14,1.07
32,Aug '14,1.08
33,Jul '14,1.04
34,Jun '14,1.41
35,May '14,1.76
