,Retailer (country),Number of stores
0,Kingfisher (Great Britain),1202
1,ADEO (France),979
2,Groupe Mr. Bricolage (France),866
3,Bricomarché (France),638
4,OBI (Germany),581
5,Zeus (Germany),527
6,Intergamma (Netherlands),386
7,Maxeda (Netherlands),376
8,Eurobaustoff (Germany),373
9,Cofaq Group (France),358
10,Rewe (Germany),348
11,EMV-Profi (Germany),347
12,Kesko/Rautakesko (Finland),299
13,Home Retail (Great Britain),296
14,DT Group (Denmark),267
15,Bauhaus (Germany),255
16,Hornbach (Germany),146
17,Hellweg Baywa/Hellweg (Germany),145
18,Baumax (Austria),122
19,Globus/Hela (Germany),101
