,Year,Gross domestic product in billion international dollars
0,2021*,605.5
1,2020*,576.84
2,2019,593.8
3,2018,579.38
4,2017,546.8
5,2016,514.38
6,2015,493.12
7,2014,473.88
8,2013,447.64
9,2012,419.62
10,2011,394.14
11,2010,363.06
12,2009,313.36
13,2008,310.62
14,2007,299.1
15,2006,267.17
16,2005,237.9
17,2004,214.9
18,2003,190.56
19,2002,178.96
20,2001,169.54
21,2000,167.69
22,1999,150.43
23,1998,140.26
24,1997,141.81
25,1996,128.7
26,1995,117.6
27,1994,107.45
28,1993,94.69
29,1992,82.99
30,1991,76.09
31,1990,68.98
32,1989,60.55
33,1988,52.89
34,1987,45.92
35,1986,40.44
36,1985,39.12
37,1984,38.16
