,Year,GDP per capita in U.S. dollars
0,2025*,607.41
1,2024*,543.23
2,2023*,486.57
3,2022*,447.36
4,2021*,430.52
5,2020*,455.01
6,2019*,487.69
7,2018*,484.87
8,2017*,445.19
9,2016*,415.18
10,2015,570.13
11,2014,619.91
12,2013,605.0
13,2012,589.82
14,2011,524.89
15,2010,429.95
16,2009,475.42
17,2008,502.5
18,2007,423.37
19,2006,382.0
20,2005,361.49
21,2004,330.2
22,2003,279.2
23,2002,257.6
24,2001,243.13
25,2000,255.35
26,1999,290.32
27,1998,271.93
28,1997,243.0
29,1996,210.63
30,1995,157.93
31,1994,159.08
32,1993,152.11
33,1992,151.72
34,1991,231.54
35,1990,304.39
36,1989,192.13
37,1988,184.5
38,1987,209.55
39,1986,463.22
40,1985,396.19
