,State,Number of registered weapons
0,Texas,725368
1,Florida,432581
2,California,376666
3,Virginia,356963
4,Pennsylvania,271427
5,Georgia,225993
6,Arizona,204817
7,North Carolina,181209
8,Ohio,175819
9,Alabama,168265
10,Illinois,147698
11,Wyoming,134050
12,Indiana,133594
13,Maryland,128289
14,Tennessee,121140
15,Washington,119829
16,Louisiana,116398
17,Colorado,112691
18,Arkansas,108801
19,New Mexico,105836
20,South Carolina,99283
21,Minnesota,98585
22,Nevada,96822
23,Kentucky,93719
24,Utah,93440
25,New Jersey,90217
26,Missouri,88270
27,Michigan,83355
28,Oklahoma,83112
29,New York,82917
30,Wisconsin,79639
31,Connecticut,74877
32,Oregon,74722
33,District of Columbia,59832
34,New Hampshire,59341
35,Idaho,58797
36,Kansas,54409
37,Mississippi,52346
38,West Virginia,41651
39,Massachusetts,39886
40,Iowa,36540
41,South Dakota,31134
42,Nebraska,29753
43,Montana,23476
44,Alaska,20520
45,North Dakota,19720
46,Maine,17410
47,Hawaii,8665
48,Vermont,7716
49,Delaware,5281
50,Rhode Island,4655
51,*Other US Territories,866
