,Month,House price index (2015=100)
0,Sep '20,122.34
1,Aug '20,121.23
2,Jul '20,118.84
3,Jun '20,119.1
4,May '20,116.77
5,Apr '20,117.52
6,Mar '20,121.05
7,Feb '20,118.34
8,Jan '20,118.24
9,Dec '19,118.76
10,Nov '19,116.53
11,Oct '19,116.94
12,Sep '19,117.59
13,Aug '19,116.38
14,Jul '19,117.28
15,Jun '19,116.49
16,May '19,114.79
17,Apr '19,116.51
18,Mar '19,116.29
19,Feb '19,116.13
20,Jan '19,116.63
21,Dec '18,117.62
22,Nov '18,118.11
23,Oct '18,118.78
24,Sep '18,117.43
25,Aug '18,117.87
26,Jul '18,118.32
27,Jun '18,118.81
28,May '18,118.41
29,Apr '18,118.54
30,Mar '18,118.39
31,Feb '18,119.0
32,Jan '18,119.04
33,Dec '18,118.53
34,Nov '17,118.56
35,Oct '17,119.13
36,Sep '17,118.95
37,Aug '17,119.07
38,Jul '17,119.07
39,Jun '17,118.8
40,May '17,118.74
41,Apr '17,118.89
42,Mar '17,119.1
43,Feb '17,118.66
44,Jan '17,117.91
45,Dec '16,117.32
46,Nov '16,117.08
47,Oct '16,116.61
48,Sep '16,116.1
49,Aug '16,115.85
50,Jul '16,116.02
51,Jun '16,115.85
52,May '16,115.67
53,Apr '16,114.46
54,Mar '16,116.36
55,Feb '16,114.26
56,Jan '16,113.53
57,Dec '15,111.59
58,Nov '15,110.65
59,Oct '15,108.89
60,Sep '15,107.73
61,Aug '15,106.38
62,Jul '15,105.3
63,Jun '15,103.8
64,May '15,102.85
65,Apr '15,101.89
66,Mar '15,101.58
67,Feb '15,101.17
68,Jan '15,100.0
