,Quarter,Household debt to GDP ratio
0,Q2 2020,84.57%
1,Q1 2020,76.3%
2,Q4 2019,76.29%
3,Q3 2019,76.06%
4,Q2 2019,75.96%
5,Q1 2019,75.99%
6,Q4 2018,76.69%
7,Q3 2018,76.6%
8,Q2 2018,76.6%
9,Q1 2018,77.28%
10,Q4 2017,78.03%
11,Q3 2017,78.19%
12,Q2 2017,78.5%
13,Q1 2017,78.32%
14,Q4 2016,78.85%
15,Q3 2016,79.08%
16,Q2 2016,78.79%
17,Q1 2016,78.91%
18,Q4 2015,79.23%
19,Q3 2015,79.11%
20,Q2 2015,79.29%
21,Q1 2015,79.54%
22,Q4 2014,80.26%
23,Q3 2014,80.43%
24,Q2 2014,81.13%
25,Q1 2014,81.92%
26,Q4 2013,81.86%
27,Q3 2013,82.69%
28,Q2 2013,83.02%
29,Q1 2013,83.26%
30,Q4 2012,84.47%
31,Q3 2012,84.28%
32,Q2 2012,84.98%
33,Q1 2012,85.61%
34,Q4 2011,86.03%
35,Q3 2011,87.06%
36,Q2 2011,88.29%
37,Q1 2011,90.14%
