,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",70.26
1,Professional and business services,32.62
2,Manufacturing,26.74
3,"Educational services, health care, and social assistance",26.4
4,Government and government enterprises,23.72
5,Information,18.0
6,Retail trade,13.92
7,Wholesale trade,12.5
8,"Arts, entertainment, recreation, accommodation, and food services",7.67
9,Construction,6.34
10,Transportation and warehousing,4.7
11,Utilities,4.11
12,"Agriculture, forestry, fishing, and hunting",0.54
13,"Mining, quarrying, and oil and gas extraction",0.2
