,Country,Active social media penetration
0,Albania,49%
1,Andorra,67%
2,Austria,49%
3,Belarus,41%
4,Belgium,65%
5,Bosnia & Herzegovina,52%
6,Bulgaria,56%
7,Croatia,51%
8,Cyprus,83%
9,Czechia,53%
10,Denmark,69%
11,Estonia,57%
12,Finland,60%
13,France,60%
14,Germany,45%
15,Gibraltar,77%
16,Greece,59%
17,Guernsey,63%
18,Hungary,62%
19,Iceland,82%
20,Republic of Ireland,65%
21,Italy,60%
22,Jersey,64%
23,Kosovo,61%
24,Latvia,53%
25,Liechtenstein,39%
26,Lithuania,66%
27,Luxembourg,64%
28,Macedonia,53%
29,Malta,91%
30,Moldova,35%
31,Monaco,41%
32,Montenegro,62%
33,Netherlands,64%
34,Norway,70%
35,Poland,50%
36,Portugal,69%
37,Romania,57%
38,Russia,52%
39,San Marino,38%
40,Serbia,42%
41,Slovakia,51%
42,Slovenia,53%
43,Spain,62%
44,Sweden,72%
45,Switzerland,53%
46,The Faroe Islands,78%
47,The Isle of Man,67%
48,Ukraine,43%
49,United Kingdom (UK),66%
