,Year,Gross domestic product in billion international dollars
0,2021*,49.09
1,2020*,45.99
2,2019,44.72
3,2018,42.99
4,2017,40.58
5,2016,38.39
6,2015,36.6
7,2014,33.94
8,2013,31.03
9,2012,28.51
10,2011,26.08
11,2010,23.79
12,2009,22.08
13,2008,20.61
14,2007,18.84
15,2006,17.03
16,2005,15.07
17,2004,13.71
18,2003,12.37
19,2002,11.35
20,2001,10.23
21,2000,8.93
22,1999,8.63
23,1998,7.62
24,1997,6.85
25,1996,6.05
26,1995,5.34
27,1994,5.12
28,1993,4.7
29,1992,4.16
30,1991,4.33
31,1990,3.93
32,1989,3.75
33,1988,3.39
34,1987,3.02
35,1986,2.57
36,1985,2.58
37,1984,2.48
