,Quarter,Game,Tools,Communication,Social,Entertainment,Photography
0,Q1 '16,5530,1110,741,-,621,729
1,Q2 '16,5280,1160,786,-,613,731
2,Q3 '16,6060,1210,831,-,684,788
3,Q4 '16,6250,1300,931,-,874,830
4,Q1 '17,6910,1250,1040,-,974,888
5,Q2 '17,6760,1300,958,-,967,849
6,Q3 '17,7040,1220,1010,-,1010,892
7,Q4 '17,7030,1290,1020,698,1010,883
8,Q1 '18,7150,1240,910,686,1080,-
9,Q2 '18,7840,1300,936,749,1150,858
10,Q3 '18,7180,1450,1100,939,1370,951
11,Q4 '18,7230,1470,1120,1060,1410,-
12,Q1 '19,7470,1470,1060,1050,1480,-
13,Q2 '19,8210,1450,1010,1040,1380,-
14,Q3 '19,8690,1490,972,1000,1200,-
15,Q4 '19,8590,1370,1080,1080,998,-
