,Year,Inflation rate compared to previous year
0,2024*,5.04%
1,2023*,4.94%
2,2022*,4.79%
3,2021*,4.67%
4,2020*,4.19%
5,2019*,5.63%
6,2018,4.97%
7,2017,3.85%
8,2016,3.52%
9,2015,4%
10,2014,6.04%
11,2013,7.14%
12,2012,7.19%
13,2011,8.08%
14,2010,5.46%
15,2009,3.69%
16,2008,19.83%
17,2007,11.13%
18,2006,9.14%
19,2005,9.6%
20,2004,8.47%
21,2003,5.3%
22,2002,3.75%
23,2001,7.36%
24,2000,11.55%
25,1999,11.21%
26,1998,13.05%
27,1997,9.19%
28,1996,11.65%
29,1995,11.12%
30,1994,3.7%
31,1993,13.5%
32,1992,21.9%
33,1991,116.6%
34,1990,"3,004.1%"
35,1989,"7,428.7%"
36,1988,"4,775.2%"
37,1987,"13,109.5%"
38,1986,885.2%
39,1985,571.4%
40,1984,141.3%
