,Year,GDP in billion international dollars
0,2021*,2399.06
1,2020*,2244.77
2,2019,2454.81
3,2018,2405.5
4,2017,2329.69
5,2016,2249.11
6,2015,2197.64
7,2014,2158.2
8,2013,2119.08
9,2012,2121.6
10,2011,2145.63
11,2010,2086.97
12,2009,2028.18
13,2008,2125.06
14,2007,2104.76
15,2006,2019.66
16,2005,1925.85
17,2004,1852.53
18,2003,1778.64
19,2002,1743.8
20,2001,1712.29
21,2000,1643.47
22,1999,1548.88
23,1998,1502.41
24,1997,1459.27
25,1996,1408.75
26,1995,1366.11
27,1994,1303.09
28,1993,1249.92
29,1992,1231.28
30,1991,1195.2
31,1990,1139.7
32,1989,1077.23
33,1988,1003.94
34,1987,932.18
35,1986,882.61
36,1985,842.37
37,1984,795.69
