,Country,Index points (out of 100)
0,North Korea,94
1,Afghanistan,93
2,Somalia,92
3,Libya,90
4,Pakistan,88
5,Eritrea,87
6,Iran,85
7,Sudan,85
8,Yemen,85
9,India,83
10,Syria,82
11,Nigeria,80
12,Saudi Arabia,79
13,Maldives,78
14,Iraq,76
15,Egypt,76
16,Algeria,73
17,Uzbekistan,73
18,Myanmar,73
19,Laos,72
20,Vietnam,72
21,Turkmenistan,70
22,China,70
23,Mauritania,68
24,Central African Republic,68
25,Morocco,66
26,Qatar,66
27,Burkina Faso,66
28,Mali,66
29,Sri Lanka,65
30,Tajikistan,65
31,Nepal,64
32,Jordan,64
33,Tunisia,64
34,Kazakhstan,64
35,Turkey,63
36,Brunei,63
37,Bangladesh,63
38,Ethiopia,63
39,Malaysia,62
40,Colombia,62
41,Oman,62
42,Kuwait,62
43,Kenya,61
44,Bhutan,61
45,Russian Federation,60
46,United Arab Emirates,60
47,Cameroon,60
48,Indonesia,60
49,Niger,60
