,Year,Inflation rate compared to previous year
0,2025*,1.35%
1,2024*,1.23%
2,2023*,1.05%
3,2022*,0.92%
4,2021*,0.61%
5,2020*,0.13%
6,2019,0.63%
7,2018,1.24%
8,2017,1.33%
9,2016,-0.05%
10,2015,0.11%
11,2014,0.23%
12,2013,1.25%
13,2012,3.32%
14,2011,2.94%
15,2010,1.62%
16,2009,0.77%
17,2008,3.49%
18,2007,2.03%
19,2006,2.23%
20,2005,2.21%
21,2004,2.26%
22,2003,2.81%
23,2002,2.61%
24,2001,2.32%
25,2000,2.58%
26,1999,1.65%
27,1998,2.03%
28,1997,1.85%
29,1996,3.98%
30,1995,5.39%
31,1994,4.16%
32,1993,4.5%
33,1992,5%
34,1991,6.22%
35,1990,6.4%
36,1989,6.25%
37,1988,5.09%
38,1987,4.72%
39,1986,5.82%
40,1985,8.97%
