,Country,Average number of partners
0,Global,9.0
1,Turkey,14.5
2,Australia,13.3
3,New Zealand,13.2
4,Iceland,13.0
5,South Africa,12.5
6,Finland,12.4
7,Norway,12.1
8,Italy,11.8
9,Sweden,11.8
10,Ireland,11.1
11,Switzerland,11.1
12,Canada,10.7
13,United States,10.7
14,Greece,10.6
15,Israel,10.6
16,Thailand,10.6
17,Japan,10.2
18,Chile,10.1
19,Serbia & Montenegro,10.1
20,United Kingdom,9.8
21,Austria,9.7
22,Denmark,9.3
23,Bulgaria,9.1
24,Czech Republic,9.0
25,France,8.1
26,Croatia,7.5
27,Belgium,7.5
28,Singapore,7.2
29,Netherlands,7.0
30,Portugal,7.0
31,Taiwan,6.6
32,Spain,6.1
33,Poland,6.0
34,Germany,5.8
35,Malaysia,5.8
36,Slovakia,5.4
37,Indonesia,5.1
38,Hong Kong,3.7
39,Vietnam,3.2
40,China,3.1
41,India,3.0
