,photovoltaic power station,Capacity in megawatts
0,Golmud Desert Solar Park(China)*,4500
1,Bhadla Industrial Solar Park (India)*,2200
2,Haixi Delingha Solar Park(China)*,2000
3,Pavagada Solar Park(India)*,2000
4,"Jinchuan, Gansu(China)*",1000
5,Tengger Solar Park (China)*,1547
6,Anatapur Ultra Mega Solar Park(India)*,1500
7,Rewa Ultra Mega Solar Park(India),750
8,Benban Solar Park(Egypt)*,1400
9,Shichengzi PV Industrial Park(China)*,1000
10,Quaid-e-Azam Solar Park(Pakistan)*,1000
11,Charanka Solar Park(India)*,800
12,Sheikh Mohammed Bin Rashid Al Maktoum Solar Park (UAE)*,5000
