,Industry,Number of deals
0,Commercial services,594
1,Technology services,543
2,Finance,473
3,Consumer services,234
4,Producer manufacturing,225
5,Distribution services,197
6,Industrial services,190
7,Health services,157
8,Process industries,140
9,Electronic technology,130
10,Health technology,117
11,Consumer non-durables,95
12,Retail trade,87
13,Transportation,80
14,Utilities,60
15,Consumer durables,58
16,Non-energy minerals,39
17,Communications,36
18,Energy minerals,24
19,Government,5
20,Miscellaneous,10
