,State,Debt in billion U.S. dollars
0,California,495.36
1,New York,354.83
2,Texas,293.2
3,Illinois,165.16
4,Florida,129.11
5,Pennsylvania,127.3
6,Massachusetts,97.8
7,New Jersey,94.78
8,Washington,91.99
9,Ohio,90.61
10,Michigan,72.69
11,Virginia,68.99
12,Georgia,58.62
13,Colorado,56.31
14,Minnesota,53.7
15,Maryland,53.59
16,Connecticut,51.69
17,Indiana,50.5
18,Kentucky,48.93
19,Wisconsin,47.2
20,Missouri,46.58
21,Arizona,46.19
22,North Carolina,46.13
23,Tennessee,43.78
24,Oregon,38.56
25,Louisiana,37.14
26,South Carolina,36.81
27,Alabama,30.36
28,Nevada,28.46
29,Kansas,25.5
30,Utah,22.68
31,Oklahoma,19.72
32,Arkansas,19.15
33,Iowa,18.96
34,Hawaii,17.04
35,District of Columbia,16.16
36,New Mexico,15.96
37,Nebraska,14.74
38,Mississippi,14.17
39,West Virginia,12.12
40,Rhode Island,11.71
41,New Hampshire,10.28
42,Alaska,9.2
43,North Dakota,8.3
44,Maine,8.29
45,Delaware,7.61
46,South Dakota,6.57
47,Idaho,6.12
48,Montana,5.7
49,Vermont,4.82
50,Wyoming,1.92
