,Country,Index value*
0,Singapore,89.4
1,Hong Kong,89.1
2,New Zealand,84.1
3,Australia,82.6
4,Switzerland,82.0
5,Ireland,80.9
6,United Kingdom,79.3
7,Denmark,78.3
8,Canada,78.2
9,Estonia,77.7
10,Taiwan,77.1
11,Georgia,77.1
12,Iceland,77.1
13,Netherlands,77.0
14,Chile,76.8
15,Lithuania,76.7
16,United States,76.6
17,United Arab Emirates,76.2
18,Luxembourg,75.8
19,Finland,74.7
20,Mauritius,74.9
21,Sweden,74.9
22,Czech Republic,74.8
23,Malaysia,74.7
24,South Korea,74.0
25,Israel,74.0
26,Germany,73.5
27,Norway,73.4
28,Austria,73.3
29,Japan,73.3
30,Qatar,72.3
31,Latvia,71.9
32,Rwanda,70.9
33,Armenia,70.6
34,Macau,70.3
35,Bulgaria,70.2
36,Cyprus,70.1
37,Romania,69.7
38,Kazakhstan,69.6
39,Botswana,69.6
40,North Macedonia,69.5
41,Malta,69.5
42,Thailand,69.4
43,Azerbaijan,69.3
44,Colombia,69.2
45,Poland,69.1
46,Uruguay,69.1
47,Belgium,68.9
48,Jamaica,68.5
49,Saint Lucia,68.2
