,medical specialty,Percent change in compensation
0,Public health and preventative medicine,11%
1,Allergy and immunology,9%
2,Orthopedics,6%
3,Oncology,5%
4,Neurology,5%
5,Internal medicine,3%
6,Pulmonary medicine,3%
7,Pathology,3%
8,Psychiatry,3%
9,Ophthalmology,3%
10,Pediatrics,3%
11,Infectious diseases,3%
12,Urology,2%
13,Cardiology,2%
14,Critical care,2%
15,Radiology,2%
16,Obstetrics and gynacology,2%
17,Plastic surgery,2%
18,Family medicine,1%
19,Anesthesiology,1%
20,Rheumatology,1%
21,Emergency medicine,1%
22,Physical medicine and rehabilitation,1%
23,General surgery,1%
24,Nephrology,1%
25,Gastroenterology,0%
26,Diabetes and endocrinology,0%
27,Otolaryngology,-1%
28,Dermatology,-2%
