,Year,Gross domestic product in billion international dollars
0,2021*,572.05
1,2020*,536.62
2,2019,572.9
3,2018,555.5
4,2017,534.5
5,2016,514.51
6,2015,501.66
7,2014,486.6
8,2013,470.33
9,2012,460.11
10,2011,448.14
11,2010,431.65
12,2009,414.8
13,2008,420.15
14,2007,410.3
15,2006,385.39
16,2005,364.76
17,2004,345.72
18,2003,325.05
19,2002,315.84
20,2001,305.71
21,2000,295.89
22,1999,279.05
23,1998,265.67
24,1997,257.66
25,1996,244.03
26,1995,236.52
27,1994,226.26
28,1993,214.61
29,1992,211.68
30,1991,203.84
31,1990,193.62
32,1989,180.96
33,1988,168.29
34,1987,155.23
35,1986,148.07
36,1985,142.55
37,1984,135.93
