,Month,Exchange rate
0,Nov '20,0.9
1,Oct' 20,0.9
2,Sep '20,0.91
3,Aug '20,0.9
4,Jul '20,0.9
5,Jun '20,0.91
6,May '20,0.9
7,Apr '20,0.87
8,Mar '20,0.87
9,Feb '20,0.85
10,Jan '20,0.84
11,Dec '19,0.85
12,Nov '19,0.85
13,Oct '19,0.86
14,Sep '19,0.89
15,Aug '19,0.91
16,Jul '19,0.92
17,Jun '19,0.9
18,May '19,0.89
19,Apr '19,0.86
20,Mar '19,0.86
21,Feb '19,0.86
22,Jan '19,0.88
23,Dec '18,0.89
24,Nov '18,0.89
25,Oct '18,0.89
26,Sep '18,0.89
27,Aug '18,0.9
28,Jul '18,0.89
29,Jun '18,0.89
30,May '18,0.88
31,Apr '18,0.88
32,Mar '18,0.87
33,Feb '18,0.88
34,Jan '18,0.88
35,Dec '17,0.89
36,Nov '17,0.88
37,Oct '17,0.88
38,Sep '17,0.88
39,Aug '17,0.92
40,Jul '17,0.89
41,Jun '17,0.88
42,May '17,0.87
43,Apr '17,0.84
44,Mar '17,0.86
45,Feb '17,0.85
46,Jan '17,0.86
47,Dec '16,0.84
48,Nov '16,0.87
49,Oct '16,0.89
50,Sep '16,0.86
51,Aug '16,0.85
52,Jul '16,0.84
53,Jun '16,0.83
54,May '16,0.76
55,Apr '16,0.78
56,Mar '16,0.79
57,Feb '16,0.79
58,Jan '16,0.76
59,Dec '15,0.73
60,Nov '15,0.7
61,Oct '15,0.72
62,Sep '15,0.74
63,Aug '15,0.73
64,Jul '15,0.7
65,Jun '15,0.71
66,May '15,0.72
67,Apr '15,0.73
68,Mar '15,0.73
69,Feb '15,0.73
70,Jan '15,0.75
71,Dec '14,0.78
72,Nov '14,0.8
73,Oct '14,0.78
74,Sep '14,0.78
75,Aug '14,0.8
76,Jul '14,0.79
77,Jun '14,0.8
78,May '14,0.81
79,Apr '14,0.82
80,Mar '14,0.83
81,Feb '14,0.83
82,Jan '14,0.82
