,Football player,Market (transfer) value in million euros
0,Jonathan David (KAA Gent),22.5
1,Krépin Diatta (Club Brugge),19.0
2,Yari Verschaeren (RSC Anderlecht),13.5
3,Zinho Vanheusden (Standard Luik),13.5
4,Emmanuel Dennis (Club Brugge),13.5
5,Hans Vanaken (Club Brugge),12.0
6,Alber Sambi Lokonga (RSC Anderlecht),10.0
7,Roman Yaremchuk (KAA Gent),9.5
8,Jérémy Doku (RSC Anderlecht),9.0
9,Joakim Maehle (KRC Genk),8.0
10,Simon Mignolet (Club Brugge),8.0
11,Nacer Chadli (RSC Anderlecht),8.0
12,Charles De Ketelaere (Club Brugge),7.6
13,Jhon Lucumí (KRC Genk),7.2
14,Giorgi Chakvetadze (KAA Gent),6.7
15,Clinton Mata (Club Brugge),6.5
16,Wesley Hoedt (Royal Antwerp FC),6.5
17,Elisha Owusu (KAA Gent),6.0
18,Marko Pjaca (RSC Anderlecht),6.0
19,Simon Deli (Club Brugge),5.5
20,Michel Vlap (RSC Anderlecht),5.5
21,David Okereke (Club Brugge),5.5
22,Hendrik van Crombrugge (RSC Anderlecht),5.5
23,Bryan Heynen (KRC Genk),5.5
24,Paul Onuachu (KRC Genk),5.2
