,Month,Consumer price index*
0,Aug 20,116.9
1,Jul 20,117.5
2,Jun 20,117.1
3,May 20,117.4
4,Apr 20,117.0
5,Mar 20,116.2
6,Feb 20,115.8
7,Jan 20,115.7
8,Dec 19,113.1
9,Nov 19,114.7
10,Oct 19,114.9
11,Sep 19,114.5
12,Aug 19,114.7
13,Jul 19,114.5
14,Jun 19,114.7
15,May 19,114.4
16,Apr 19,114.1
17,Mar 19,114.6
18,Feb 19,115.0
19,Jan 19,114.0
20,Dec 18,111.3
21,Nov 18,112.5
22,Oct 18,111.1
23,Sep 18,111.2
24,Aug 18,111.1
25,Jul 18,110.3
26,Jun 18,110.6
27,May 18,110.8
28,Apr 18,109.8
29,Mar 18,108.9
30,Feb 18,109.4
31,Jan 18,109.4
32,Dec 17,107.0
33,Nov 17,106.4
34,Oct 17,106.8
35,Sep 17,106.9
36,Aug 17,106.7
37,Jul 17,106.6
38,Jun 17,106.3
39,May 17,106.5
40,Apr 17,105.6
41,Mar 17,105.2
42,Feb 17,103.5
43,Jan 17,103.6
44,Dec 16,101.3
45,Nov 16,101.8
46,Oct 16,102.4
47,Sep 16,102.5
48,Aug 16,102.1
