,Country,Number of invividuals with a net worrth over one million U.S. dollars. in thousands
0,United States,18612.99
1,China,4446.77
2,Japan,3025.26
3,United Kingdom,2460.2
4,Germany,2186.98
5,France,2071.09
6,Italy,1496.09
7,Canada,1322.27
8,Australia,1179.48
9,Spain,953.79
10,Netherlands,813.75
11,Switzerland,787.41
12,India,726.17
13,Korea,704.96
14,Taiwan (Chinese Taipei),509.6
15,Hong Kong SAR,493.49
16,Sweden,359.94
17,Austria,305.02
18,Belgium,274.92
19,Brazil,245.08
20,Denmark,230.38
21,Russia,229.95
22,Singapore,199.35
23,New Zealand,181.45
24,Mexico,166.72
