,Company (country),Refining capacity in thousand barrels per day
0,ExxonMobil (U.S.),5589
1,Royal Dutch Shell (Netherlands),4109
2,Sinopec (China),3971
3,BP PLC (U.K.),2859
4,Saudi Arabian Oil Company (Saudi Arabia),2852
5,Valero Energy Corporation (U.S.),2777
6,Petróleos de Venezuela S.A. (Venezuela),2678
7,China National Petroleum Company (China),2675
8,Chevron Corp. (U.S.),2675
9,Phillips 66 (U.S.),2514
10,Total S.A. (France),2304
11,Petróleo Brasileiro S.A. (Brazil),1997
12,Marathon Oil Corp. (U.S.),1714
13,Petróleos Mexicanos (Mexico),1703
14,National Iranian Oil Company (Iran),1451
15,JX Nippon Oil & Energy Corp. (Japan),1423
16,Rosneft (Russia),1293
17,OAO Lukoil (Russia),1217
18,SK Innovation (Korea),1115
19,Repsol YPF S.A. (Spain),1105
