,Month,Index points
0,Jan 3,3.7
1,Jan 2,3.6
2,Jan 1,3.9
3,Dec 31,2.7
4,Dec 30,1.5
5,Dec 29,1.5
6,Dec 28,1.6
7,Dec 27,3.4
8,Dec 26,3.0
9,Dec 25,3.2
10,Dec 24,1.4
11,Dec 23,1.3
12,Dec 22,1.3
13,Dec 21,1.4
14,Dec 20,3.5
15,Dec 19,2.8
16,Dec 18,1.4
17,Dec 17,1.4
18,Dec 16,1.4
19,Dec 15,1.3
20,Dec 14,1.5
21,Dec 13,3.7
22,Dec 12,3.0
23,Dec 11,1.4
24,Dec 10,1.4
25,Dec 9,1.4
26,Dec 8,1.4
27,Dec 7,1.5
28,Dec 6,3.7
29,Dec 5,3.1
30,Dec 4,1.5
31,Dec 3,1.4
32,Dec 2,1.4
33,Dec 1,1.4
34,Nov 30,1.5
35,Nov 29,2.8
36,Nov 28,2.9
37,Nov 27,1.4
38,Nov 26,1.3
39,Nov 25,1.4
40,Nov 24,1.3
41,Nov 23,1.4
42,Nov 22,3.8
43,Nov 21,2.9
44,Nov 20,1.3
45,Nov 19,1.4
46,Nov 18,1.4
47,Nov 17,1.4
48,Nov 16,1.4
49,Nov 15,3.8
50,Nov 14,2.9
51,Nov 13,1.3
52,Nov 12,1.2
53,Nov 11,1.2
54,Nov 10,1.1
55,Nov 9,1.2
56,Nov 8,3.7
57,Nov 7,2.9
58,Nov 6,1.5
59,Nov 5,1.3
60,Nov 4,1.4
61,Nov 3,1.3
62,Nov 2,1.4
63,Nov 1,3.6
64,Oct 31,2.7
65,Oct 30,1.1
66,Oct 29,1.1
67,Oct 28,1.0
68,Oct 27,1.0
69,Oct 26,1.2
70,Oct 25,3.6
71,Oct 24,2.8
72,Oct 23,0.9
73,Oct 22,0.9
74,Oct 21,0.9
75,Oct 20,0.9
76,Oct 19,1.0
77,Oct 18,3.4
78,Oct 17,2.6
79,Oct 16,0.9
80,Oct 15,0.9
81,Oct 14,0.9
82,Oct 13,0.8
83,Oct 12,0.9
84,Oct 11,3.4
85,Oct 10,2.4
86,Oct 9,0.8
87,Oct 8,0.8
88,Oct 7,0.8
89,Oct 6,0.8
90,Oct 5,0.9
91,Oct 4,3.3
92,Oct 3,2.6
93,Oct 2,0.8
94,Oct 1,0.8
95,Sept 30,0.8
96,Sept 29,0.8
97,Sept 28,0.9
98,Sept 27,3.3
99,Sept 26,2.3
100,Sept 25,0.7
101,Sept 24,0.7
102,Sept 23,0.8
103,Sept 22,0.7
104,Sept 21,0.8
105,Sept 20,3.2
106,Sept 19,2.4
107,Sept 18,0.9
108,Sept 17,1.0
109,Sept 16,0.8
110,Sept 15,0.8
111,Sept 14,1.0
112,Sept 13,3.2
113,Sept 12,2.4
114,Sept 11,0.8
115,Sept 10,0.9
116,Sept 9,0.8
117,Sept 8,0.8
118,Sept 7,1.0
119,Sept 6,3.2
120,Sept 5,2.5
121,Sept 4,0.8
122,Sept 3,0.8
123,Sept 2,0.8
124,Sept 1,0.8
125,Aug 31,1.1
126,Aug 30,3.1
127,Aug 29,2.4
128,Aug 28,1.1
129,Aug 27,1.1
130,Aug 26,1.0
131,Aug 25,1.0
132,Aug 24,1.1
133,Aug 23,3.0
134,Aug 22,2.4
135,Aug 21,1.1
136,Aug 20,1.1
137,Aug 19,1.2
138,Aug 18,1.0
139,Aug 17,1.2
140,Aug 16,2.7
141,Aug 15,2.6
142,Aug 14,1.2
143,Aug 13,1.2
144,Aug 12,1.2
145,Aug 11,1.5
146,Aug 10,1.7
147,Aug 9,2.8
148,Aug 8,2.3
149,Aug 7,0.9
150,Aug 6,0.9
151,Aug 5,1.0
152,Aug 4,1.0
153,Aug 3,1.1
154,Aug 2,2.8
155,Aug 1,2.4
156,Jul 31,1.1
157,Jul 30,1.1
158,Jul 28,1.0
159,Jul 27,1.2
160,Jul 26,2.7
161,Jul 25,2.3
162,Jul 24,1.0
163,Jul 23,1.0
164,Jul 22,1.0
165,Jul 21,1.0
166,Jul 20,1.0
167,Jul 19,2.7
168,Jul 18,2.2
169,Jul 17,0.9
170,Jul 16,0.9
171,Jul 15,1.0
172,Jul 14,0.9
173,Jul 13,1.1
174,Jul 12,3.1
175,Jul 11,2.4
176,Jul 10,1.0
177,Jul 9,0.9
178,Jul 8,0.9
179,Jul 7,1.0
180,Jul 6,1.0
181,Jul 5,2.8
182,Jul 4,2.4
183,Jul 3,2.6
184,Jul 2,1.0
185,Jul 1,0.9
186,Jun 30,1.0
187,Jun 29,1.0
188,Jun 28,2.9
189,Jun 27,2.2
190,Jun 26,0.9
191,Jun 25,0.9
192,Jun 24,0.9
193,Jun 23,1.0
194,Jun 22,1.1
195,Jun 21,2.9
196,Jun 20,2.4
197,Jun 19,1.0
198,Jun 18,1.0
199,Jun 17,1.0
200,Jun 16,1.0
201,Jun 15,1.2
202,Jun 14,3.1
203,Jun 13,2.5
204,Jun 12,1.1
205,Jun 11,1.0
206,Jun 10,1.0
207,Jun 9,1.1
208,Jun 8,1.1
209,Jun 7,3.0
210,Jun 6,2.5
211,Jun 5,1.1
212,Jun 4,1.2
213,Jun 3,1.3
214,Jun 2,1.5
215,Jun 1,1.4
216,May 31,3.3
217,May 30,3.1
218,May 29,1.4
219,May 28,1.2
220,May 27,1.2
221,May 26,1.2
222,May 25,1.4
223,May 24,3.2
224,May 23,2.7
225,May 22,1.5
226,May 21,1.5
227,May 20,1.4
228,May 19,1.5
229,May 18,1.6
230,May 17,3.4
231,May 16,3.0
232,May 15,1.4
233,May 14,1.5
234,May 13,1.6
235,May 12,1.8
236,May 11,1.5
237,May 10,3.2
238,May 9,3.0
239,May 8,1.6
240,May 7,1.6
241,May 6,1.8
242,May 5,1.7
243,May 4,1.7
244,May 3,3.4
245,May 2,3.3
246,May 1,3.1
247,Apr 30,1.9
248,Apr 29,1.9
249,Apr 28,3.5
250,Apr 27,3.3
251,Apr 26,3.4
252,Apr 25,2.9
253,Apr 24,1.7
254,Apr 23,1.7
255,Apr 22,1.7
256,Apr 21,1.8
257,Apr 20,1.9
258,Apr 19,4.0
259,Apr 18,3.4
260,Apr 17,2.0
261,Apr 16,2.1
262,Apr 15,2.0
263,Apr 14,1.9
264,Apr 13,1.9
265,Apr 12,3.7
266,Apr 11,3.3
267,Apr 10,1.9
268,Apr 9,1.8
269,Apr 8,1.7
270,Apr 7,1.7
271,Apr 6,1.8
272,Apr 5,3.7
273,Apr 4,2.6
274,Apr 3,1.8
275,Apr 2,1.7
276,Apr 1,1.7
277,Mar 31,1.4
278,Mar 30,1.5
279,Mar 29,3.3
280,Mar 28,2.6
281,Mar 27,1.2
282,Mar 26,1.1
283,Mar 25,1.1
284,Mar 24,1.2
285,Mar 23,1.2
286,Mar 22,3.5
287,Mar 21,2.9
288,Mar 20,1.0
289,Mar 19,1.0
290,Mar 18,0.9
291,Mar 17,0.9
292,Mar 16,0.9
293,Mar 15,3.3
294,Mar 14,2.8
295,Mar 13,0.7
296,Mar 12,0.7
297,Mar 11,0.7
298,Mar 10,0.6
299,Mar 9,0.8
300,Mar 8,3.0
301,Mar 7,2.5
302,Mar 6,0.7
303,Mar 5,0.7
304,Mar 4,0.7
