,Year,Consumption per capita in gallons of ethanol
0,2018,2.37
1,2017,2.38
2,2016,2.37
3,2015,2.36
4,2014,2.35
5,2013,2.34
6,2012,2.35
7,2011,2.31
8,2010,2.3
9,2009,2.32
10,2008,2.33
11,2007,2.32
12,2006,2.27
13,2005,2.25
14,2004,2.22
15,2003,2.23
16,2002,2.19
17,2001,2.17
18,2000,2.16
19,1999,2.15
20,1998,2.14
21,1997,2.11
22,1996,2.12
23,1995,2.12
24,1994,2.14
25,1993,2.18
26,1992,2.21
27,1991,2.25
28,1990,2.37
29,1989,2.35
30,1988,2.41
31,1987,2.45
32,1986,2.46
33,1985,2.49
34,1984,2.52
35,1983,2.54
36,1982,2.57
37,1981,2.61
38,1980,2.63
39,1979,2.58
40,1978,2.52
41,1977,2.49
