,Year,Inflation rate compared to previous year
0,2024*,2%
1,2023*,2%
2,2022*,2%
3,2021*,2%
4,2020*,1.9%
5,2019*,2.3%
6,2018,2.77%
7,2017,1.88%
8,2016,3.55%
9,2015,2.17%
10,2014,2.04%
11,2013,2.12%
12,2012,0.7%
13,2011,1.29%
14,2010,2.42%
15,2009,2.2%
16,2008,3.75%
17,2007,0.71%
18,2006,2.33%
19,2005,1.53%
20,2004,0.45%
21,2003,2.49%
22,2002,1.29%
23,2001,3%
24,2000,3.09%
25,1999,2.37%
26,1998,2.25%
27,1997,2.57%
28,1996,1.26%
29,1995,2.46%
30,1994,1.38%
31,1993,2.29%
32,1992,2.33%
33,1991,3.44%
34,1990,4.13%
35,1989,4.55%
36,1988,6.68%
37,1987,8.72%
38,1986,7.18%
39,1985,5.72%
40,1984,6.22%
