,Response,Percentage of tweets being replies
0,"Government, Nepal @Hello_Sarkar",96%
1,"Government, The Netherlands  @Rijksoverheid",88%
2,"Government, UK @GOVUK",87%
3,"Paul Kagame, President of Rwanda @PaulKagame",74%
4,"Erna Solberg, Prime Minister of Norway @Erna_Solberg",59%
5,"Félix A. Tshisekedi, President of the Dem. Republic Congo @Fatshi13",56%
6,"Jacinda Adern, Prime Minister of New Zealand @JacindaAdern",56%
7,"Ana Brnabić, Prime Minister of Serbia @AnaBrnabic",45%
8,"Umaro Sissoco Embaló, President of Guinea-Bisseau @USEmbalo",36%
9,"Andrzej Duda, President of Poland",34%
