,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",111.23
1,Professional and business services,98.86
2,Government and government enterprises,55.52
3,"Educational services, health care, and social assistance",54.14
4,Manufacturing,50.52
5,Wholesale trade,46.61
6,Retail trade,35.49
7,Information,30.3
8,Transportation and warehousing,20.42
9,Construction,18.14
10,"Arts, entertainment, recreation, accommodation, and food services",17.4
11,Utilities,8.7
12,"Agriculture, forestry, fishing, and hunting",1.29
13,"Mining, quarrying, and oil and gas extraction",0.39
